version,0.1, Cityscape SDR calibration table
name, Rx gain vs. frequency,
SDR,HackRF, 
RF front end,HackRF, 
timestamp,1504777732, Thu Sep  7 02:48:52 2017 
source, ./cscape_cal_ampl_hackrf.py,
DATA STARTS HERE,,
frequency, gain_adj,
99900000,-1,
199900000,-2,
299900000,-2,
399900000,-2,
499900000,-3,
599900000,-3,
699900000,-2,
799900000,-2,
899900000,-2,
999900000,-2,
1099900000,-2,
1199900000,-2,
1299900000,-1,
1399900000,0,
1499900000,-1,
1599900000,-1,
1699900000,1,
1799900000,2,
1899900000,3,
1999900000,3,
2099900000,3,
2199900000,-8,
2299900000,-8,
2399900000,-9,
2499900000,-8,
2599900000,-9,
2699900000,-8,
2799900000,5,
2899900000,6,
2999900000,6,
