version,0.1, Cityscape SDR calibration table
name, Rx gain vs. frequency,
SDR,B210, F4E600
RF front end,AD9361, 
timestamp,1504775558, Thu Sep  7 02:12:38 2017 
source, ./cscape_cal_ampl.py,
DATA STARTS HERE,,
frequency, gain_adj,
99900000,8,
199900000,8,
299900000,8,
399900000,8,
499900000,8,
599900000,8,
699900000,8,
799900000,8,
899900000,9,
999900000,9,
1099900000,10,
1199900000,10,
1299900000,11,
1399900000,11,
1499900000,12,
1599900000,12,
1699900000,12,
1799900000,13,
1899900000,13,
1999900000,14,
2099900000,14,
2199900000,14,
2299900000,14,
2399900000,14,
2499900000,14,
2599900000,14,
2699900000,14,
2799900000,15,
2899900000,16,
2999900000,17,
